Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2022-06-08,3241.01220703125,3250.342606335813,3186.125071449585,3218.16236339916,2185707
2022-06-09,3262.86279296875,3272.288261175394,3192.4091033187706,3222.780263042976,1279197
2022-06-10,3198.8828125,3230.396648198138,3191.3614986030525,3219.923803184822,1527582
2022-06-13,3065.306884765625,3135.189236353081,3039.4578574278717,3132.3330056488417,3030921
2022-06-14,3056.690185546875,3083.681423087163,3022.5581396388056,3037.1249610183345,2611493
2022-06-15,3052.643798828125,3079.0162789095107,3047.5977454512504,3064.259088951843,1404536
2022-06-16,2991.4248046875,3089.345980146901,2982.9037652424686,3084.7283154638767,2032028
2022-06-17,2940.8701171875,2969.289704408758,2878.937703453666,2943.8216484270556,5240434
2022-06-20,2963.244140625,2988.3314606785643,2921.9240948857073,2945.726018108953,1502769
2022-06-21,3058.023681640625,3082.5873147928496,2975.6213705874925,2980.001017775189,2964461
2022-06-22,3068.4951171875,3094.772523344958,3030.459704922347,3046.549705886801,3336315
2022-06-23,3150.23193359375,3158.9909941418205,3068.4960428938434,3068.4960428938434,3692578
2022-06-24,3135.28369140625,3184.696376286296,3120.4312027737924,3178.9839164185178,2132118
2022-06-27,3155.8486328125,3201.738683872359,3148.0416502571884,3189.456987255884,2037686
2022-06-28,3159.133544921875,3170.415747992332,3115.7666325797654,3148.517981564757,1400046
2022-06-29,3132.808349609375,3173.271608949414,3114.2428541474746,3114.2428541474746,2133994
2022-06-30,3110.530029296875,3152.230804812,3099.0098076960153,3115.1951123752265,2719603
2022-07-01,3156.22998046875,3173.272062686644,3096.201490070515,3103.7704543529735,1502879
2022-07-04,3080.015869140625,3158.9429370113216,3070.495101849076,3153.278126960972,2622535
2022-07-05,3062.1640625,3115.1946834533114,3053.2620531758807,3099.0093810026065,2170627
2022-07-06,3104.484375,3111.862970079736,3048.7878831077974,3064.259130855631,2182144
2022-07-07,3130.2861328125,3160.323973095007,3108.578732975444,3114.2435440498625,1989921
2022-07-08,3108.959228515625,3146.6139135149515,3094.2496880252925,3141.853529379528,2136916
2022-07-11,2964.57666015625,3070.447549322278,2957.1504149441844,3052.5008094298382,6974600
2022-07-12,2936.870849609375,2985.9027979832917,2932.63415492732,2965.623518478388,3734815
2022-07-13,2893.12353515625,2960.959010888009,2889.5532469598415,2955.2465497737558,3863530
2022-07-14,2862.576171875,2918.1810279022507,2832.2679456283868,2917.226438099208,4764908
2022-07-15,2858.614990234375,2891.3572371602795,2818.903957416189,2881.4773715883616,4574806
2022-07-18,2924.386474609375,2937.225663540724,2877.4206930658875,2885.7255794823373,3202795
