Price,Close,High,Low,Open,Volume
Ticker,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS
Date,,,,,
2020-08-14,848.0864868164062,856.4464216794628,846.7080013554147,850.0875298577134,4663873
2020-08-17,851.554931640625,864.8507610118887,848.5311117372377,848.5311117372377,9008210
2020-08-18,860.4930419921875,861.9604954006224,852.6222937005452,857.246937779795,6141761
2020-08-19,853.1558227539062,864.0503906281122,851.5105423794882,863.4723440854801,6622744
2020-08-20,849.4649047851562,858.6696797429232,846.040865725153,852.7999760425731,5656501
2020-08-21,843.8176879882812,856.8467245492973,841.8166447521932,856.4909618168396,6513773
2020-08-24,842.5724487304688,846.6634478793666,835.2797485121305,842.2166860732774,5798574
2020-08-25,834.3014526367188,843.6841637461561,830.2993668947164,842.6613867882729,6233918
2020-08-26,845.5963134765625,848.6645903393826,834.5683754716551,837.1030082860296,5153601
2020-08-27,842.26123046875,854.6232512885985,840.6159501420166,853.7783556011816,6154280
2020-08-28,831.766845703125,847.1081748540247,829.8102595347734,846.1743656751053,7593610
2020-08-31,825.8526000976562,845.3294389734525,813.4016667513877,831.7668151498385,12808355
2020-09-01,813.0016479492188,831.5446267364623,811.1784318127752,823.7627919942762,6907773
2020-09-02,821.76171875,823.8961864854351,812.4235174005682,813.7575461647727,5678118
2020-09-03,832.0337524414062,844.3513176080573,821.7617415286522,823.985122863957,8827948
2020-09-04,817.4483032226562,826.6530791095023,813.2683359684394,813.757468945879,8650342
2020-09-07,822.6954345703125,824.9188155914105,812.0232056690423,817.2259498274694,6700385
2020-09-08,835.3688354492188,846.6636236377149,823.1402379439471,827.0534108583427,12891964
2020-09-09,825.0966796875,841.3273608023443,823.5403130052546,831.544484513945,5528947
2020-09-10,836.0357055664062,837.769953587829,822.4730815831638,831.8112817027733,5171884
2020-09-11,841.0606689453125,848.5757084162922,827.9871763570061,831.4556728149255,6671903
2020-09-14,870.1424560546875,881.3927319427276,843.3729148248619,851.1102919718684,21871587
